Strain	ST Oxf	ST Pas	K/O typing	City	Collection date	AMK	GEN	IPM	MEM	CRO	CAZ	FEP	MIN	TGC	CST	Accession
HZ-22	195	2	KL9, OCL1	Xi'an	20220321	8	16	128	128	1024	1024	1024	8	0.25	0.06	SAMN36593551
HZ-3	-	2	KL2, OCL1	Xi'an	20220224	512	512	32	32	1024	1024	512	8	0.5	0.5	SAMN36593552
HZ-4	195	2	KL2, OCL1	Xi'an	20220221	512	512	64	128	1024	1024	512	8	0.5	0.06	SAMN36593553
HZ-5	208	2	KL7, OCL1	Xi'an	20221010	8	8	64	32	1024	128	128	16	1	0.25	SAMN36593554
HZ-6	-	2	KL7, OCL1	Xi'an	20220308	512	512	32	32	1024	1024	512	8	2	0.5	SAMN36593555
HZ-7	195	2	KL9, OCL1	Xi'an	20220326	512	512	32	32	1024	512	256	2	1	0.06	SAMN36593556
HZ-8	195	2	KL7, OCL1	Xi'an	20220424	512	512	64	128	256	512	256	8	0.5	0.125	SAMN36593557
J1-1	540	2	KL2, OCL1	Xi'an	20220912	512	512	32	32	1024	256	128	16	2	0.5	SAMN36593558
J1-11	540	2	KL7, OCL1	Xi'an	20220920	512	512	64	64	1024	256	1024	16	2	0.25	SAMN36593559
J1-4	195	2	KL3, OCL1	Xi'an	20210910	512	512	128	128	1024	1024	1024	8	2	0.06	SAMN36593560
J1-7	195	2	KL7, OCL1	Xi'an	20210922	512	512	32	64	1024	1024	1024	8	2	0.125	SAMN36593561
J2-1	540	2	KL7, OCL1	Xi'an	20220429	512	512	32	32	1024	256	1024	32	4	1	SAMN36593562
J2-10	-	2	KL210, OCL1	Xi'an	20220315	512	512	128	128	1024	128	512	16	2	0.5	SAMN36593563
J2-12	208	2	KL77, OCL1	Xi'an	20220412	512	512	32	32	512	128	64	32	2	0.25	SAMN36593564
J2-14	-	2	KL9, OCL1	Xi'an	20220129	512	512	16	16	1024	64	256	64	2	0.125	SAMN36593565
J2-15	540	2	KL7, OCL1	Xi'an	20220526	512	512	128	128	1024	256	512	16	2	0.5	SAMN36593566
J2-17	540	2	KL7, OCL1	Xi'an	20220212	512	512	64	32	1024	256	1024	16	2	0.5	SAMN36593567
J2-18	208	2	KL3, OCL1	Xi'an	20220601	512	512	16	16	1024	256	512	4	2	0.25	SAMN36593568
J2-2	208	2	KL2, OCL1	Xi'an	20220314	512	512	128	128	1024	128	1024	32	2	0.125	SAMN36593569
J2-20	938	2	KL7, OCL1	Xi'an	20220518	4	32	32	32	1024	1024	256	16	2	0.5	SAMN36593570
J2-23	540	2	KL7, OCL1	Xi'an	20220314	512	512	32	32	1024	256	1024	16	1	0.5	SAMN36593571
J2-26	540	2	KL9, OCL1	Xi'an	20220623	512	512	32	32	1024	256	512	8	1	0.25	SAMN36593572
J2-28	208	2	KL7, OCL1	Xi'an	20220629	512	512	16	16	1024	128	512	2	1	0.25	SAMN36593573
J2-29	540	2	KL9, OCL1	Xi'an	20221008	512	512	32	32	1024	128	256	8	0.5	0.25	SAMN36593574
J2-30	540	2	KL72, OCL1	Xi'an	20220130	512	512	64	64	1024	256	256	8	1	0.5	SAMN36593575
J2-4	540	2	KL7, OCL1	Xi'an	20220714	512	512	128	128	1024	256	1024	16	2	0.5	SAMN36593576
J2-5	540	2	KL210, OCL1	Xi'an	20220130	512	512	64	32	1024	256	256	32	4	1	SAMN36593577
J2-7	369	2	KL7, OCL1	Xi'an	20220710	512	512	64	32	1024	512	1024	16	2	0.25	SAMN36593578
J2-8	369	2	KL2, OCL1	Xi'an	20220221	512	512	64	64	1024	512	1024	16	2	0.25	SAMN36593579
J2-9	369	2	KL9, OCL1	Xi'an	20220106	512	512	32	64	512	1024	1024	32	2	0.25	SAMN36593580
SRM-1	938	2	KL45, OCL6	Xi'an	20220711	512	512	64	64	1024	1024	512	8	1	0.125	SAMN36593581
SRM-13	540	2	KL7, OCL1	Xi'an	20220819	512	512	32	32	1024	512	128	16	1	0.5	SAMN36593582
SRM-16	540	2	KL7, OCL1	Xi'an	20220906	512	512	64	32	1024	256	64	8	0.5	0.5	SAMN36593583
SRM-19	-	2	KL160, OCL18	Xi'an	20221009	512	512	32	32	1024	256	512	1	2	0.5	SAMN36593584
SRM-2	540	2	KL14, OCL1	Xi'an	20220726	8	512	64	64	1024	256	256	4	1	0.06	SAMN36593585
